"D_X","E850","SAC","SI","SIC","SIP","SS","XI_VS","XI_alpha","XPB","XPB_VS","XS_VS","alpha.water","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.728e-11,0.078569,0.75894,0.21344,0.0025824,0.013934,0.1626,14.61,0.19944,56.514,31.75,6.0047,0,17.297,20.091,2.9126e-07,-1.7349e-07,7.8434e-08,1.0024,1,0.000282,0.0015,0.000282,5e-06
1.728e-11,0.07595,0.75912,0.2134,0.002578,0.013937,0.1627,14.609,0.19943,56.511,31.748,6.0045,0,17.269,20.093,2.9125e-07,-1.7891e-07,7.8416e-08,1.0024,1,0.000285,0.0015,0.000285,5e-06
1.728e-11,0.073546,0.75929,0.21336,0.0025736,0.013939,0.1628,14.609,0.19942,56.508,31.746,6.0043,0,17.243,20.096,2.9124e-07,-1.8388e-07,7.8399e-08,1.0023,1,0.000288,0.0015,0.000288,5e-06
1.728e-11,0.071141,0.75947,0.21332,0.0025693,0.013941,0.1629,14.608,0.19942,56.505,31.744,6.004,0,17.216,20.099,2.9122e-07,-1.8886e-07,7.8382e-08,1.0023,1,0.000291,0.0015,0.000291,5e-06
1.728e-11,0.068835,0.75965,0.21328,0.0025649,0.013944,0.16301,14.607,0.19941,56.501,31.742,6.0038,0,17.19,20.103,2.9121e-07,-1.9364e-07,7.8366e-08,1.0022,1,0.000294,0.0015,0.000294,5e-06
1.728e-11,0.066626,0.75982,0.21324,0.0025605,0.013946,0.16311,14.607,0.1994,56.498,31.741,6.0036,0,17.164,20.107,2.912e-07,-1.9821e-07,7.835e-08,1.0022,1,0.000297,0.0015,0.000297,5e-06
1.728e-11,0.064418,0.76,0.2132,0.0025561,0.013948,0.16322,14.606,0.19939,56.495,31.739,6.0033,0,17.138,20.11,2.9119e-07,-2.0279e-07,7.8334e-08,1.0021,1,0.0003,0.0015,0.0003,5e-06
1.728e-11,0.062389,0.76017,0.21315,0.0025516,0.013951,0.16332,14.606,0.19938,56.492,31.737,6.0031,0,17.113,20.115,2.9118e-07,-2.07e-07,7.8319e-08,1.0021,1,0.000303,0.0015,0.000303,5e-06
1.728e-11,0.06036,0.76035,0.21311,0.0025472,0.013953,0.16343,14.605,0.19938,56.489,31.735,6.0028,0,17.088,20.12,2.9117e-07,-2.112e-07,7.8304e-08,1.002,1,0.000306,0.0015,0.000306,5e-06
1.728e-11,0.058413,0.76052,0.21306,0.0025428,0.013956,0.16354,14.604,0.19937,56.485,31.733,6.0026,0,17.064,20.125,2.9116e-07,-2.1524e-07,7.829e-08,1.002,1,0.000309,0.0015,0.000309,5e-06
1.728e-11,0.056548,0.7607,0.21302,0.0025383,0.013958,0.16365,14.604,0.19936,56.482,31.732,6.0024,0,17.04,20.131,2.9115e-07,-2.1911e-07,7.8277e-08,1.0019,1,0.000312,0.0015,0.000312,5e-06
1.728e-11,0.054684,0.76087,0.21298,0.0025339,0.01396,0.16375,14.603,0.19935,56.479,31.73,6.0021,0,17.016,20.138,2.9113e-07,-2.2298e-07,7.8263e-08,1.0019,1,0.000315,0.0015,0.000315,5e-06
1.728e-11,0.052969,0.76104,0.21293,0.0025294,0.013963,0.16386,14.603,0.19934,56.476,31.728,6.0018,0,16.995,20.145,2.9112e-07,-2.2654e-07,7.825e-08,1.0018,1,0.000318,0.0015,0.000318,5e-06
